track_id,mfcc0_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc0_std,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,mfcc14_std,mfcc15_std,mfcc16_std,mfcc17_std,mfcc18_std,mfcc19_std,chroma0_mean,chroma1_mean,chroma2_mean,chroma3_mean,chroma4_mean,chroma5_mean,chroma6_mean,chroma7_mean,chroma8_mean,chroma9_mean,chroma10_mean,chroma11_mean,chroma0_std,chroma1_std,chroma2_std,chroma3_std,chroma4_std,chroma5_std,chroma6_std,chroma7_std,chroma8_std,chroma9_std,chroma10_std,chroma11_std,contrast0_mean,contrast1_mean,contrast2_mean,contrast3_mean,contrast4_mean,contrast5_mean,contrast6_mean,contrast0_std,contrast1_std,contrast2_std,contrast3_std,contrast4_std,contrast5_std,contrast6_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std,tempo,genre,split
2,-66.7807,64.2618,-9.77676,11.2876,-2.41914,9.0379,-1.11332,4.54984,-5.30512,0.244527,-9.49533,2.58234,-2.20363,7.39825,-2.52304,0.485628,-7.7296,-2.77713,-2.22859,-0.60578,54.0763,30.4706,22.8228,17.6981,17.5361,13.8284,12.5148,9.40693,10.2682,8.72637,9.57913,10.5531,8.80765,7.83855,7.30611,7.07291,7.30883,7.23011,7.19504,6.36672,0.747006,0.465571,0.376991,0.346402,0.276218,0.23404,0.272904,0.4199,0.372483,0.358382,0.3784,0.515734,0.301847,0.270969,0.287647,0.258462,0.213145,0.218078,0.221976,0.283803,0.271485,0.28062,0.263534,0.276085,16.0329,15.4314,17.9256,17.8091,17.8919,17.153,46.9735,4.98182,4.2073,4.33813,3.10035,2.73722,2.34546,2.96503,3056.59,997.47,2709.77,359.619,6253.77,1520.83,0.164406,0.0939375,0.145215,0.0789426,161.499,Hip-Hop,training
5,-105.964,86.3695,13.0012,23.2924,-0.144228,11.9947,-4.71458,16.5471,-5.4262,-0.890858,-1.03398,8.07508,4.21507,6.53885,0.968511,0.198776,-3.40223,-1.28294,-0.920467,0.675563,47.0402,29.1276,21.4075,17.791,16.6176,13.597,11.6137,10.0494,9.80226,10.1641,9.92134,8.55363,9.49183,7.50997,7.35252,8.12292,6.7104,6.63205,8.08817,8.03067,0.408928,0.578512,0.398304,0.34103,0.322576,0.328852,0.372811,0.397835,0.488171,0.49178,0.507829,0.457664,0.259684,0.327796,0.25789,0.263388,0.256733,0.267373,0.285289,0.283356,0.329748,0.324945,0.319172,0.309593,15.9051,14.2961,18.1207,18.7143,17.3641,16.1969,48.1962,4.67847,4.03739,4.48921,3.69245,2.75181,2.01474,3.19337,2430.61,878.352,2617.82,406.934,5471.24,1604.28,0.100606,0.0672363,0.148828,0.0810011,99.384,Hip-Hop,training
10,-16.8113,93.6121,-47.8246,31.5779,-3.76267,1.41051,-1.50816,1.88486,-4.52262,-0.247139,-8.49641,1.50212,-5.6944,1.9546,-4.37874,-1.58363,-2.51991,2.38166,-0.388514,3.24008,28.8203,20.5606,17.6182,11.7209,11.2323,7.71964,8.09122,7.5207,7.66586,6.61694,6.92998,5.94548,6.05951,5.55924,5.72615,6.52452,5.73171,6.35044,5.50802,5.44537,0.283685,0.649419,0.330624,0.347292,0.231403,0.323438,0.700743,0.338985,0.381056,0.308978,0.569383,0.307269,0.167281,0.29265,0.162237,0.255631,0.144595,0.171947,0.288188,0.173736,0.273143,0.210972,0.2848,0.196234,22.7125,15.1801,17.8363,17.7203,18.4265,20.1342,48.2929,5.08936,3.63697,3.39015,2.77607,2.17896,2.17195,3.70561,2358.13,382.232,2065.03,347.43,4332.37,848.4,0.148947,0.0283265,0.188172,0.044926,112.347,Pop,training
140,-278.153,100.806,37.0544,34.9052,26.7529,11.0461,10.7963,4.90058,1.32713,6.39208,-4.1548,-2.22108,-6.23034,2.29523,-7.69482,0.668284,-4.6666,-1.30404,-5.80846,-1.6891,85.8182,35.7988,21.7087,15.5496,14.0202,15.9231,10.8316,10.0576,9.76692,10.7263,9.28198,7.85842,8.20447,7.90687,7.2373,6.59265,6.15485,6.25452,6.81981,6.64699,0.242838,0.270964,0.364772,0.345893,0.379862,0.433202,0.27343,0.234015,0.200707,0.274969,0.294747,0.230708,0.291806,0.253856,0.356525,0.300197,0.341156,0.373766,0.261408,0.308117,0.224932,0.302572,0.336183,0.242832,19.9057,19.318,18.9703,17.7413,17.8639,17.6663,46.1764,4.92524,4.69956,4.17924,3.49556,2.93306,3.29328,3.25527,1765.88,1036,2509.61,583.466,3918.63,2465.71,0.0445251,0.0523892,0.069202,0.038052,107.666,Folk,training
141,-208.308,116.046,-1.24354,25.5132,10.1812,-4.65922,7.74549,-5.59113,0.435912,1.75526,-2.86281,-3.8659,-4.36732,2.69906,-1.66253,4.66653,0.269127,2.69187,-8.28706,-1.49486,113.657,34.9134,16.6011,15.941,14.107,14.1023,12.3288,9.94196,9.10745,7.78407,8.25863,8.82026,7.39738,8.55903,9.45982,9.74928,9.59877,7.80861,8.25258,9.45353,0.164104,0.153202,0.243002,0.186744,0.234106,0.373786,0.242959,0.225383,0.214111,0.385499,0.51358,0.214389,0.244562,0.2164,0.289161,0.248618,0.25208,0.348655,0.229258,0.305892,0.237654,0.339758,0.405249,0.204512,21.7298,18.9427,23.3385,21.5422,19.351,22.2098,46.639,5.56406,5.27977,5.2048,4.27806,3.17393,5.31929,3.83203,1666.7,809.799,2056.06,553.016,3338.6,1682.79,0.062031,0.0522993,0.101315,0.0781832,103.359,Folk,training
148,8.25898,126.051,-27.9908,30.9394,12.6479,12.1467,-1.55451,13.9655,-0.398748,8.16711,0.156824,6.45728,0.46039,10.2147,6.677,5.66997,-0.567692,7.77266,8.85275,4.25881,38.9571,33.5489,24.8186,12.4293,11.4404,8.35951,9.56511,11.4374,8.79685,9.79416,10.1379,9.35874,7.49849,7.3576,6.38885,4.71664,5.48065,8.22196,7.42601,7.87595,0.235886,0.232199,0.220317,0.345159,0.254844,0.252132,0.488326,0.447359,0.427649,0.505443,0.332002,0.243469,0.250897,0.25476,0.200921,0.314165,0.208403,0.175489,0.362558,0.290191,0.300533,0.375107,0.252355,0.229259,17.075,13.9419,13.2416,15.4016,20.6281,18.8818,47.9376,3.49809,3.92375,3.09871,2.89555,3.27663,2.77385,2.1872,1711.43,543.108,1887.72,490.517,3551.69,1501.34,0.0882424,0.0397562,0.479526,0.0607028,117.454,Experimental,validation
182,-26.004,136.475,-60.4598,43.2761,-37.1245,32.3071,-4.25233,13.669,12.0856,7.21285,12.3002,12.2624,3.36377,11.3814,-2.69756,1.65214,0.0498955,-2.03783,-0.633006,-1.73279,25.7837,24.9346,19.1429,9.56146,9.14399,11.5246,9.32039,8.46501,8.02788,7.30583,6.95257,6.50205,6.63261,6.10108,6.91384,6.31345,6.52257,6.73661,7.0875,7.00061,0.307978,0.294976,0.357842,0.478645,0.309911,0.464047,0.391927,0.452638,0.321639,0.300281,0.477413,0.276684,0.272889,0.246267,0.268592,0.33714,0.225801,0.333829,0.289618,0.342478,0.246737,0.222874,0.339291,0.216486,24.5877,16.8766,18.3786,18.2991,17.9097,18.7417,54.5174,5.41287,4.03774,3.85066,2.93742,2.29229,2.66472,3.4721,1877.19,361.453,1750.58,273.812,3949.88,806.686,0.100631,0.0253036,0.27515,0.0247835,143.555,Rock,test
190,-139.512,96.5826,-22.8703,25.5791,-7.45291,-3.78798,-21.7789,-7.03345,-19.8636,-6.05911,-16.0073,-5.30209,-8.18225,-6.6499,-7.65414,-9.23865,-8.69479,-2.46943,-5.84812,-8.48776,51.4172,24.9368,16.1992,18.2887,9.45629,10.4947,9.64489,7.31846,10.8258,8.97408,8.25007,9.08973,9.76313,9.55254,10.3439,9.57737,8.95381,10.0041,9.87755,9.84589,0.228431,0.15151,0.232273,0.199725,0.386352,0.28115,0.255156,0.263169,0.261351,0.30874,0.153874,0.217983,0.304942,0.197921,0.31818,0.184373,0.359761,0.300962,0.281931,0.31659,0.284531,0.345456,0.190708,0.26737,24.2813,19.8092,24.6103,24.103,24.0211,23.8196,51.1752,6.6298,3.95843,4.39641,4.33359,4.19936,3.61218,3.92136,1907.64,708.519,2031.46,361.487,3729.97,1310.58,0.0885524,0.0477527,0.132971,0.0651044,99.384,Folk,training
193,-198.019,120.317,-29.3949,35.3944,-10.0645,4.93017,-13.5945,-5.61052,-16.012,-8.16191,-11.3718,-5.35732,-7.50024,-7.4359,-13.5421,-8.79838,-10.1566,-9.01719,-9.16004,-10.0559,100.514,33.3329,15.649,14.948,9.51903,7.69227,11.4956,7.0681,7.97182,8.5933,7.52521,8.04946,8.21747,7.26892,8.40659,8.3555,8.27306,10.0939,9.07475,10.0733,0.298463,0.416477,0.387398,0.470246,0.428787,0.325956,0.325929,0.19201,0.313833,0.303526,0.294526,0.271051,0.257856,0.290662,0.294521,0.329309,0.31763,0.273003,0.301835,0.155959,0.288209,0.27372,0.271219,0.20903,27.7712,20.0354,24.4707,25.3718,24.74,24.5442,52.2902,6.00243,4.65566,5.02388,5.12829,4.52597,4.472,4.5391,1588.08,627.425,1761.67,420.772,3213.28,1292.08,0.0772377,0.037965,0.0833212,0.0434282,95.7031,Folk,training
194,-184.612,118.741,-26.5107,29.0658,-8.13318,3.59765,-12.242,-1.84287,-16.6477,-5.96021,-12.9926,-2.82993,-8.44716,-9.69231,-8.83003,-5.87028,-9.67302,-7.01401,-7.96566,-7.1514,95.3436,24.9736,16.6731,14.7362,11.4027,9.08504,10.7251,7.48167,9.76344,7.98137,8.21572,7.50673,6.86198,7.6885,7.68766,7.15523,8.16795,8.44399,10.7789,9.43553,0.286195,0.298841,0.335428,0.241291,0.411585,0.357741,0.238955,0.244061,0.297997,0.427319,0.260251,0.287323,0.263829,0.260491,0.340858,0.198858,0.345219,0.33754,0.235829,0.311454,0.227311,0.335808,0.238314,0.297111,27.3364,20.4728,24.3487,23.9939,24.4755,24.9481,52.842,5.47321,4.54858,4.799,4.12301,3.68385,4.01739,4.31412,1550.1,490.982,1767.81,361.593,3091.9,1067.21,0.0729493,0.0290668,0.0964587,0.0567649,103.359,Folk,training
